,date,compound,country
60,5/23/20,0.22434000000000004,Nigeria
61,5/24/20,-0.5423,Nigeria
62,5/25/20,-0.4767,Nigeria
63,5/26/20,0.5871666666666666,Nigeria
64,5/28/20,-0.10819999999999999,Nigeria
65,5/29/20,0.10115,Nigeria
66,5/3/20,0.5766666666666667,Nigeria
67,5/30/20,0.12964444444444442,Nigeria
68,5/31/20,0.010915686274509827,Nigeria
69,5/4/20,0.36346666666666666,Nigeria
70,5/5/20,0.15263333333333332,Nigeria
71,5/6/20,0.16208888888888884,Nigeria
72,5/7/20,0.031400000000000004,Nigeria
73,5/8/20,0.22916190476190482,Nigeria
74,5/9/20,-0.19436,Nigeria
